scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,1,1644682159
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,2,1644682160
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,3,1644682161
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,4,1644682162
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,5,1644682163
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,6,1644682164
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,7,1644682165
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,8,1644682166
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,9,1644682167
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,10,1644682168
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,1,1644682169
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,2,1644682170
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,3,1644682171
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,4,1644682172
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,5,1644682173
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,6,1644682174
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,7,1644682175
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,8,1644682176
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,9,1644682177
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,10,1644682178
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,1,1644682179
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,2,1644682180
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,3,1644682181
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,4,1644682182
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,5,1644682183
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,6,1644682184
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,7,1644682185
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,8,1644682186
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,9,1644682187
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,10,1644682188
