scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,5,1644500686
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,6,1644500687
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,7,1644500688
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,8,1644500689
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,9,1644500690
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,2,FALSE,10,1644500691
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,1,1644500692
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,2,1644500693
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,3,1644500694
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,4,1644500695
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,5,1644500696
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,6,1644500697
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,7,1644500698
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,8,1644500699
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,9,1644500700
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.25,1,2,FALSE,10,1644500701
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,1,1644500702
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,2,1644500703
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,3,1644500704
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,4,1644500705
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,5,1644500706
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,6,1644500707
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,7,1644500708
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,8,1644500709
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,9,1644500710
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.5,1,2,FALSE,10,1644500711
