scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,vertical,mProb,mSize,spillover_rate,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,6,1655898585
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,7,1655898586
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,8,1655898587
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,9,1655898588
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,20,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,10,1655898589
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,1,1655898590
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,2,1655898591
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,3,1655898592
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,4,1655898593
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,5,1655898594
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,6,1655898595
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,7,1655898596
