scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,local_dispersal,infect_percent,replicate,ofi
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,TRUE,TRUE,3,1644327336
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,TRUE,TRUE,4,1644327337
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,TRUE,TRUE,5,1644327338
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,TRUE,TRUE,6,1644327339
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,TRUE,TRUE,7,1644327340
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,TRUE,TRUE,8,1644327341
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,TRUE,TRUE,9,1644327342
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,TRUE,TRUE,10,1644327343
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,TRUE,TRUE,1,1644327344
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,TRUE,TRUE,2,1644327345
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,TRUE,TRUE,3,1644327346
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,TRUE,TRUE,4,1644327347
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,TRUE,TRUE,5,1644327348
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,TRUE,TRUE,6,1644327349
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,TRUE,TRUE,7,1644327350
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,TRUE,TRUE,8,1644327351
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,TRUE,TRUE,9,1644327352
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,TRUE,TRUE,10,1644327353
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,TRUE,TRUE,1,1644327354
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,TRUE,TRUE,2,1644327355
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,TRUE,TRUE,3,1644327356
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,TRUE,TRUE,4,1644327357
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,TRUE,TRUE,5,1644327358
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,TRUE,TRUE,6,1644327359
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,TRUE,TRUE,7,1644327360
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,TRUE,TRUE,8,1644327361
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,TRUE,TRUE,9,1644327362
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,TRUE,TRUE,10,1644327363
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,TRUE,TRUE,1,1644327364
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,TRUE,TRUE,2,1644327365
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,TRUE,TRUE,3,1644327366
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,TRUE,TRUE,4,1644327367
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,TRUE,TRUE,5,1644327368
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,TRUE,TRUE,6,1644327369
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,TRUE,TRUE,7,1644327370
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,TRUE,TRUE,8,1644327371
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,TRUE,TRUE,9,1644327372
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,TRUE,TRUE,10,1644327373
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,TRUE,TRUE,1,1644327374
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,TRUE,TRUE,2,1644327375
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.05,1,TRUE,TRUE,3,1644327376
