scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,p_v_transmit,initialInfections,costInfect,multithreaded,dispersal,vertical,infect_percent,mProb,mSize,replicate,seed
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,2,1675601175
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,3,1675601176
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,4,1675601177
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,5,1675601178
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,6,1675601179
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,7,1675601180
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,8,1675601181
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,9,1675601182
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.1,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,10,1675601183
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,1,1675601184
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,2,1675601185
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,3,1675601186
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,4,1675601187
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,5,1675601188
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,6,1675601189
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,7,1675601190
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,8,1675601191
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,9,1675601192
