scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,vertical,infect_percent,mProb,mSize,spillover_rate,replicate,ofi
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.05,10,1656329488
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.1,1,1656329489
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.1,2,1656329490
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.1,3,1656329491
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.1,4,1656329492
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.1,5,1656329493
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.1,6,1656329494
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.1,7,1656329495
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.1,8,1656329496
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.1,9,1656329497
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.1,10,1656329498
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.25,1,1656329499
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.25,2,1656329500
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.25,3,1656329501
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.25,4,1656329502
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.25,5,1656329503
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.25,6,1656329504
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.25,7,1656329505
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.25,8,1656329506
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.25,9,1656329507
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,2,FALSE,FALSE,0.01,0.01,0.25,10,1656329508
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.05,1,1656329509
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.05,2,1656329510
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.05,3,1656329511
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.05,4,1656329512
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.05,5,1656329513
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.05,6,1656329514
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.05,7,1656329515
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.05,8,1656329516
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.05,9,1656329517
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.05,10,1656329518
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.1,1,1656329519
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.1,2,1656329520
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.1,3,1656329521
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.1,4,1656329522
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.1,5,1656329523
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.1,6,1656329524
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.1,7,1656329525
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.1,8,1656329526
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.1,9,1656329527
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.1,10,1656329528
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.25,1,1656329529
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.25,2,1656329530
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.25,3,1656329531
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.25,4,1656329532
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.25,5,1656329533
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.25,6,1656329534
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.25,7,1656329535
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.25,8,1656329536
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.25,9,1656329537
3,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,2,FALSE,FALSE,0.01,0.01,0.25,10,1656329538
