gen,social_strat,N,mean_move,mean_assoc,mean_intake,prop_infec,repl,cost,regen,local,infect_percent,prop,gen_bin,gen_abs
115,non-handler tracking,7,47.5714285714286,2982,11.0009995188032,0,1,0.25,50,1,0,0.014,100,-2900
115,agent avoiding,2,26,78,15.0009994506836,0,1,0.25,50,1,0,0.004,100,-2900
120,agent tracking,474,33.5232067510549,37320.9957805907,13.30479692105,0,1,0.25,50,1,0,0.948,100,-2900
120,handler tracking,11,45.5454545454546,638.090909090909,11.0919086282904,0,1,0.25,50,1,0,0.022,100,-2900
120,agent avoiding,6,44.8333333333333,64.3333333333333,11.3343329628309,0,1,0.25,50,1,0,0.012,100,-2900
120,non-handler tracking,9,42.3333333333333,2465.44444444444,11.7787773344252,0,1,0.25,50,1,0,0.018,100,-2900
125,agent tracking,467,32.4903640256959,38176.017130621,13.5063527709178,0,1,0.25,50,1,0,0.934,100,-2900
125,handler tracking,14,53.6428571428572,381.714285714286,9.57242819241115,0,1,0.25,50,1,0,0.028,100,-2900
125,non-handler tracking,17,56,3268.76470588235,9.23629372137571,0,1,0.25,50,1,0,0.034,100,-2900
125,agent avoiding,2,14.5,86.5,17.5009994506836,0,1,0.25,50,1,0,0.004,100,-2900
130,agent tracking,478,33.3870292887029,38118.1317991632,13.3294513366732,0,1,0.25,50,1,0,0.956,100,-2900
130,handler tracking,9,62.2222222222222,59.4444444444445,8.00099967066975,0,1,0.25,50,1,0,0.018,100,-2900
130,non-handler tracking,6,39.5,480.666666666667,12.5009995301565,0,1,0.25,50,1,0,0.012,100,-2900
130,agent avoiding,7,44,212.714285714286,11.5724280902318,0,1,0.25,50,1,0,0.014,100,-2900
135,agent tracking,458,36.1004366812227,34476.3253275109,12.797942685248,0,1,0.25,50,1,0,0.916,100,-2900
135,agent avoiding,8,38.5,83.625,12.6259995698929,0,1,0.25,50,1,0,0.016,100,-2900
135,handler tracking,19,53.9473684210526,109.210526315789,9.42205223665989,0,1,0.25,50,1,0,0.038,100,-2900
135,non-handler tracking,15,49.5333333333333,437.333333333333,10.4009996175766,0,1,0.25,50,1,0,0.03,100,-2900
140,agent tracking,468,35.25,33179.9102564103,12.9903156943853,0,1,0.25,50,1,0,0.936,100,-2900
140,handler tracking,15,50.6666666666667,825.933333333333,10.2009996096293,0,1,0.25,50,1,0,0.03,100,-2900
140,non-handler tracking,9,49.5555555555556,3719.11111111111,10.3343328980393,0,1,0.25,50,1,0,0.018,100,-2900
140,agent avoiding,8,39.625,67.125,12.7509995698929,0,1,0.25,50,1,0,0.016,100,-2900
145,agent tracking,478,33.0690376569038,33120,13.4319618000146,0,1,0.25,50,1,0,0.956,100,-2900
145,non-handler tracking,12,38.5833333333333,4781,12.7509995698929,0,1,0.25,50,1,0,0.024,100,-2900
145,handler tracking,10,43.1,896.6,11.8009994983673,0,1,0.25,50,1,0,0.02,100,-2900
150,agent tracking,476,32.3361344537815,33098.981092437,13.582932225045,0,1,0.25,50,1,0,0.952,100,-2900
150,handler tracking,13,50.3846153846154,60.7692307692308,10.3856149875971,0,1,0.25,50,1,0,0.026,100,-2900
150,non-handler tracking,11,49.8181818181818,1058.54545454545,10.3646359877153,0,1,0.25,50,1,0,0.022,100,-2900
155,agent tracking,480,32.0291666666667,32755.59375,13.6364161183437,0,1,0.25,50,1,0,0.96,100,-2900
155,handler tracking,12,42.8333333333333,90.4166666666667,11.7509995698929,0,1,0.25,50,1,0,0.024,100,-2900
155,non-handler tracking,8,53.625,1898.125,9.37599957895873,0,1,0.25,50,1,0,0.016,100,-2900
160,handler tracking,13,51.9230769230769,484.076923076923,10.1548457879287,0,1,0.25,50,1,0,0.026,100,-2900
160,agent tracking,483,30.527950310559,29108.6956521739,13.9699435510497,0,1,0.25,50,1,0,0.966,100,-2900
160,non-handler tracking,4,35.75,8313.75,13.2509995698929,0,1,0.25,50,1,0,0.008,100,-2900
165,non-handler tracking,8,32.375,10218.875,13.6259994506836,0,1,0.25,50,1,0,0.016,100,-2900
165,agent tracking,477,29.4905660377359,22016.0209643606,14.235800289258,0,1,0.25,50,1,0,0.954,100,-2900
165,handler tracking,15,34.6666666666667,689.6,13.3343328158061,0,1,0.25,50,1,0,0.03,100,-2900
170,agent tracking,480,28.65625,16034.9020833333,14.507249451677,0,1,0.25,50,1,0,0.96,100,-2900
170,handler tracking,14,39.2142857142857,394.357142857143,12.7152851990291,0,1,0.25,50,1,0,0.028,100,-2900
170,non-handler tracking,5,32.8,3688.4,14.000999546051,0,1,0.25,50,1,0,0.01,100,-2900
170,agent avoiding,1,50,905,10.0009994506836,0,1,0.25,50,1,0,0.002,100,-2900
175,agent tracking,473,26.014799154334,14261.334038055,15.1616759844613,0,1,0.25,50,1,0,0.946,100,-2900
175,handler tracking,14,44.4285714285714,531.214285714286,11.4295709814344,0,1,0.25,50,1,0,0.028,100,-2900
