gen,energy.mean,energy.sd,intake.mean,intake.sd,moved.mean,moved.sd,assoc.mean,assoc.sd,repl,cost,regen,local,infect_percent,gen_bin,gen_abs
455,16.6729994528294,1.71998040682158,16.6729994528294,1.71998040682158,18.496,8.42710009624094,44261.446,5445.34237070107,3,0.25,50,1,0,400,-2600
460,16.7129994536897,1.66210140565222,16.7129994536897,1.66210140565222,18.302,8.09925873052392,44230.066,4979.11594772463,3,0.25,50,1,0,400,-2600
465,16.446999455597,1.86495038929627,16.446999455597,1.86495038929627,19.578,9.08189835637412,44109.052,6061.38995757008,3,0.25,50,1,0,400,-2600
470,16.6769994566441,1.90953305297935,16.6769994566441,1.90953305297935,18.498,9.40824245287632,44134.234,6483.20400570607,3,0.25,50,1,0,400,-2600
475,16.8149994547367,1.70799249635845,16.8149994547367,1.70799249635845,17.812,8.43296423397746,43110.454,4745.86561469554,3,0.25,50,1,0,400,-2600
480,16.6969994575044,1.87366086770924,16.6969994575044,1.87366086770924,18.386,9.25377050380407,42539.632,5592.73806347744,3,0.25,50,1,0,400,-2600
485,15.6289994565507,2.18704874510602,15.6289994565507,2.18704874510602,23.494,10.6502967866293,41794.352,8049.65232523806,3,0.25,50,1,0,400,-2600
490,16.6729994575044,2.03585491584198,16.6729994575044,2.03585491584198,18.482,10.0119005340949,42710.714,6170.17271190958,3,0.25,50,1,0,400,-2600
495,15.7729994544983,1.81289522530105,15.7729994544983,1.81289522530105,22.9,8.8509139276523,42884.23,6422.92128214984,3,0.25,50,1,0,400,-2600
500,15.9909994558354,2.00847399782297,15.9909994558354,2.00847399782297,21.818,9.83271277323618,42102.57,6525.08858446921,3,0.25,50,1,0,500,-2500
505,16.660999453783,1.55860785282146,16.660999453783,1.55860785282146,18.578,7.65042312214794,42726.08,4255.30181452096,3,0.25,50,1,0,500,-2500
510,16.5709994627496,2.43000195477207,16.5709994627496,2.43000195477207,18.974,11.8910098911936,40638.058,7148.78798804609,3,0.25,50,1,0,500,-2500
